Number,Name,Calories,Proteins,Carbs,Fats
03082,"BABYFOOD,DINNER,TURKEY&RICE,STR",52,2.3,7.9,1.2
03083,"BABYFOOD,DINNER,TURKEY&RICE,JR",56,2.4,9.6,0.9
03084,"BABYFOOD,DINNER,VEG&TURKEY,STR",48,2.3,7.6,0.9
03085,"BABYFOOD,DINNER,VEG&TURKEY,JR",53,1.7,7.6,1.7
03086,"BABYFOOD,DINNER,VEG&TURKEY,TODD",80,4.8,8,3.4
03089,"BABYFOOD,DINNER,MACARONI&CHS,STR",67,3.1,8.9,2.1
03090,"BABYFOOD,DINNER,MACARONI&CHS,JR",61,2.6,8.2,2
03091,"BABYFOOD,VEG,GRN BNS,STR",25,1.3,5.9,0.1
03092,"BABYFOOD,VEG,GRN BNS,JR",25,1.2,5.7,0.1
03093,"BABYFOOD,GRN BNS,DICES,TODD",29,1.2,5.7,0.2
03096,"BABYFOOD,VEG,GRN BNS&POTATOES",63,2.2,9,1.9
03098,"BABYFOOD,VEG,BEETS,STR",34,1.3,7.7,0.1
03099,"BABYFOOD,VEG,CARROTS,STR",27,0.8,6,0.1
03100,"BABYFOOD,VEG,CARROTS,JR",32,0.8,7.2,0.2
03104,"BABYFOOD,VEG,SQUASH,STR",24,0.8,5.6,0.2
03105,"BABYFOOD,VEG,SQUASH,JR",24,0.8,5.6,0.2
03108,"BABYFOOD,VEG,SWT  POTATOES STR",57,1.1,13.2,0.1
03109,"BABYFOOD,VEG,SWT  POTATOES,JR",60,1.1,14,0.1
03112,"BABYFOOD,POTATOES,TODDLER",51,1,11.8,0.1
03114,"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",50,2,9.3,0.6
03115,"BABYFOOD,APPLS,DICES,TODD",51,0.2,12.1,0.1
03116,"BABYFOOD,FRUIT,APPLSAUC,STR",48,0.2,12.7,0.2
03117,"BABYFOOD,FRUIT,APPLSAUC,JR",37,0,10.3,0
03118,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",60,0.3,16.3,0
03119,"BABYFOOD,VEG,CORN,CRMD,STR",57,1.4,14.1,0.4
03120,"BABYFOOD,VEG,CORN,CRMD,JR",65,1.4,16.3,0.4
03121,"BABYFOOD,VEG,PEAS,STR",40,3.5,8.1,0.3
03122,"BABYFOOD,PEAS,DICES,TODD",64,3.9,10.3,0.8
03127,"BABYFOOD,VEG,SPINACH,CRMD,STR",37,2.5,5.7,1.3
03128,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR",63,0.3,17.3,0
03129,"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR",57,0.4,15.3,0.1
03130,"BABYFOOD,FRUIT,PEACHES W/SUGAR,STR",71,0.5,18.9,0.2
03131,"BABYFOOD,FRUIT,PEACHES,JR",71,0.5,18.9,0.2
03132,"BABYFOOD,FRUIT,PEARS,STR",41,0.3,10.8,0.2
03133,"BABYFOOD,FRUIT,PEARS,JR",43,0.3,11.6,0.1
03134,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",71,0.1,19.7,0
03135,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR",74,0.1,20.4,0
03136,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",70,0.6,18.5,0.1
03137,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",70,0.6,18.7,0.1
,"BABYFOOD,FRUIT,GUAVA W/TAPIOCA,STR",67,0.3,18.3,0
03139,"BABYFOOD,PRUNES,WO/VIT C,STR",101,1,23.8,0.2
03140,"BABYFOOD,FRUIT,MANGO W/TAPIOCA,STR",80,0.3,21.6,0.2
03141,"BABYFOOD,PEARS,DICES,TODD",57,0.3,13.6,0.1
03142,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR",44,0.2,11.6,0.2
03143,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",47,0.2,12.4,0.2
03144,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",51,0,14.1,0
03145,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,JR",51,0,14.1,0
03147,"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",66,0.4,16.2,0.1
03150,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",37,0.1,10.1,0.1
03151,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",39,0.1,10.5,0.1
03152,"BABYFOOD,FRUIT,APPL&RASPBERRY,W/SUGAR,STR",58,0.2,15.7,0.2
03153,"BABYFOOD,FRUIT,APPL&RASPBERRY,W/SUGAR,JR",58,0.2,15.4,0.2
03154,"BABYFOOD,FRUIT&VEG,APPL&SWT POTATO",63,0.3,15.3,0.2
03156,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",68,0.2,18.4,0.1
03157,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR",65,0.2,17.8,0
03158,"BABYFOOD,FRUIT,PEARS&PNAPPL,STR",41,0.3,10.9,0.1
03159,"BABYFOOD,FRUIT,PEARS&PNAPPL,JR",44,0.3,11.4,0.2
03160,"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",63,0.2,17,0.1
03161,"BABYFOOD,PEACHES,DICES,TODD",51,0.5,11.8,0.2
03162,"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",70,0.2,18.9,0.1
03163,"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",83,0.9,19.7,0.2
03164,"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",61,0.2,16.3,0.2
03165,"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR",62,0.2,16.6,0.2
03166,"BABYFOOD,JUICE,APPLE",47,0,11.7,0.1
03167,"BABYFOOD,APPLE-BANANA JUC",51,0.2,12.3,0.1
